city,lat,lon
Aschaffenburg,49.9737,9.1471
Kempten,47.7267,10.3133
Aalen,48.8372,10.0936
Lippstadt,51.6758,8.3447
Schwäbisch Gmünd,48.7991,9.7972
Plauen,50.4950,12.1370
Bad Homburg,50.2292,8.6185
Bad Vilbel,50.1781,8.7361
Dreieich,50.0189,8.6961
Steinheim am Main,50.1257,8.8300
Oberursel,50.2028,8.5769
Dietzenbach,50.0086,8.7756
Döbeln,51.1194,13.1142
Bad Oeynhausen,52.2009,8.8054
Neu Isenburg,50.0558,8.6971
Weil am Rhein,47.5934,7.6208
Kehl,48.5747,7.8170
Bad Dürkheim,49.4618,8.1726
Kirchheim unter Teck,48.6476,9.4513
Leinfelden-Echterdingen,48.6941,9.1619
Wiesloch,49.2952,8.6989
Lahr,48.3396,7.8735
Sinsheim,49.2508,8.8798
Bruchsal,49.1257,8.5898
Pfungstadt,49.8048,8.6026
Schwetzingen,49.3833,8.5733
Donaueschingen,47.9527,8.5015
Germersheim,49.2140,8.3675
Freudenstadt,48.4642,8.4109
Albstadt,48.2104,9.0260
Mosbach,49.3524,9.1450
Rastatt,48.8576,8.2027
Heppenheim,49.6429,8.6392
Bretten,49.0369,8.7086
Bühl,48.6967,8.1352
Achern,48.6313,8.0728
Weinheim,49.5449,8.6644
Eppingen,49.1361,8.9121
Bensheim,49.6801,8.6186
Lampertheim,49.5965,8.4736
Calw,48.7143,8.7399
Vaihingen,48.9336,8.9609
Horb am Neckar,48.4447,8.6915
Bad Rappenau,49.2386,9.1016
Neckarsulm,49.1917,9.2253
Rottenburg,48.4774,8.9347
Bad Mergentheim,49.4928,9.7726
Herrenberg,48.5952,8.8660
Radolfzell,47.7406,8.9681
Filderstadt,48.6650,9.2219
Ehingen,48.2828,9.7275
Fellbach,48.8119,9.2719
Weinstadt,48.8133,9.3769
Waiblingen,48.8301,9.3163
Kornwestheim,48.8635,9.1834
Bietigheim-Bissingen,48.9669,9.1267
Leonberg,48.8010,9.0163
Winnenden,48.8748,9.3984
Nürtingen,48.6277,9.3397
Schorndorf,48.8052,9.5292
Backnang,48.9463,9.4313
Mühlacker,48.9493,8.8399
Ettlingen,48.9418,8.4078
Gaggenau,48.8039,8.3308
Rheinfelden,47.5544,7.7936
Lörrach,47.6169,7.6614
Waldshut-Tiengen,47.6226,8.2144
Crailsheim,49.1334,10.0753
Ellwangen,48.9615,10.1310
Schwäbisch Hall,49.1114,9.7391
Öhringen,49.2003,9.5025
Metzingen,48.5369,9.2830
Tuttlingen,47.9850,8.8201
Rottweil,48.1685,8.6275
Friedrichshafen,47.6541,9.4792
Ravensburg,47.7819,9.6136
Biberach,48.0951,9.7902
Heidenheim,48.6763,10.1544
Singen,47.7597,8.8381
Balingen,48.2745,8.8490
Offenburg,48.4721,7.9417
Lahr,48.3396,7.8735
Kehl,48.5747,7.8170
Achern,48.6313,8.0728
Oberkirch,48.5288,8.0748
Hausach,48.2806,8.1730
Wolfach,48.2992,8.2214
Haslach,48.2779,8.0890
Gengenbach,48.4028,8.0134
Zell am Harmersbach,48.3488,8.0673
Waldkirch,48.0949,7.9610
Emmendingen,48.1196,7.8515
Breisach,48.0289,7.5830
Müllheim,47.8084,7.6298
Staufen,47.8822,7.7324
Bad Krozingen,47.9118,7.7003
Ihringen,48.0475,7.6500
Vogtsburg,48.0995,7.6363
Endingen,48.1428,7.7061
Kenzingen,48.1925,7.7688
Herbolzheim,48.2192,7.7752
Neuenburg,47.8133,7.5633
Kandern,47.7197,7.6633
Grenzach-Wyhlen,47.5503,7.6447
Bad Säckingen,47.5538,7.9465
Todtnau,47.8324,7.9493
Schopfheim,47.6514,7.8237
Titisee-Neustadt,47.9061,8.1556
Schluchsee,47.8188,8.1813
Hinterzarten,47.8996,8.1052
Feldberg,47.8749,8.0041
St. Blasien,47.7605,8.1272
Bonndorf,47.8193,8.3403
Stühlingen,47.7443,8.4470
Blumberg,47.8414,8.5338
Wutach,47.8097,8.4166
Ühlingen-Birkendorf,47.7207,8.2987
Grafenhausen,47.7767,8.2618
Bernau,47.8014,8.0336
Höchenschwand,47.7296,8.1644
Rickenbach,47.6195,8.0645
Görwihl,47.6394,8.0813
Herrischried,47.6641,8.0054
Dachsberg,47.7091,8.1234
Ibach,47.7288,8.0744
Weilheim,47.6737,8.2002
Albbruck,47.5871,8.1336
Laufenburg,47.5652,8.0603
Murg,47.5542,8.0248
Bad Bellingen,47.7317,7.5590
Schliengen,47.7549,7.5757
Steinenstadt,47.7373,7.5445
Auggen,47.7827,7.5980
Efringen-Kirchen,47.6555,7.5626
Fischingen,47.6863,7.5786
Holzen,47.7047,7.5513
Mappach,47.6629,7.5244
Blansingen,47.6745,7.5413
Huttingen,47.6351,7.5207
Istein,47.6617,7.5303
Kleinkems,47.6938,7.5145
Rheinweiler,47.7180,7.5368
Riedlingen,47.7455,7.5643
Welmlingen,47.6441,7.5087
Wintersweiler,47.6785,7.5349
Bellingen,47.7273,7.5576
Hertingen,47.7127,7.5473
Tannenkirch,47.7564,7.5927
Niederweiler,47.6883,7.5244
Egringen,47.6982,7.5849
Adelhausen,47.7455,7.6183
Binzen,47.6313,7.6193
Buggingen,47.8512,7.6430
Eschbach,47.8901,7.6805
Heitersheim,47.8753,7.6564
Neuenburg,47.8133,7.5633
Neuenweg,47.7973,7.8674
Niedereggenen,47.7633,7.6048
Obereggenen,47.7768,7.6130
Rümmingen,47.6463,7.6424
Schallbach,47.6608,7.6600
Sulzburg,47.8465,7.7119
Zunzingen,47.8976,7.7113
Badenweiler,47.8030,7.6740
Ballrechten-Dottingen,47.8643,7.7311
Britzingen,47.8267,7.6806
Feldberg,47.8575,8.0042
Hausen,47.7612,7.8408
Laufen,47.8217,7.6975
Lipburg,47.8101,7.6636
Malsburg-Marzell,47.7719,7.6552
Müllheim,47.8084,7.6298
Niederweiler,47.8005,7.6606
Raich,47.7866,7.6463
Schweigmatt,47.8330,7.7193
Sehringen,47.7973,7.6787
Steinenstadt,47.8113,7.6640
Vögisheim,47.8203,7.6350
Wettelbrunn,47.8540,7.6950
Zunzingen,47.8293,7.6603
Speyer,49.3176,8.4314
Baden-Baden,48.7606,8.2398
